Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
25899990,07/09/2013 11:17:32 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10310,178 GREENLEAF AVENUE,GREENLEAF AVENUE,FOREST AVENUE,ARTHUR COURT,,,ADDRESS,STATEN ISLAND,,N/A,Assigned,08/08/2013 11:17:32 AM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 STATEN ISLAND,5003520061,STATEN ISLAND,949127,167451,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.62622119989057,-74.12652943303313,"(40.62622119989057, -74.12652943303313)"
25901950,07/09/2013 11:24:02 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Snake,Residence,10304,55 BOWEN STREET,BOWEN STREET,ROFF STREET,SOBEL COURT,,,ADDRESS,STATEN ISLAND,,N/A,Assigned,08/08/2013 11:24:02 AM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 STATEN ISLAND,5028770025,STATEN ISLAND,961092,163010,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.61407094270223,-74.0834107194835,"(40.61407094270223, -74.0834107194835)"
25907082,07/10/2013 03:49:20 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Store,11229,,,,,AVENUE U,EAST   18 STREET,INTERSECTION,BROOKLYN,,N/A,Open,08/09/2013 03:49:20 PM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,15 BROOKLYN,,BROOKLYN,997149,157565,PHONE,Unspecified,BROOKLYN,,,,,,,,40.59914640687772,-73.95355064056908,"(40.59914640687772, -73.95355064056908)"
25918340,07/11/2013 07:50:07 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10304,97 PROVIDENCE STREET,PROVIDENCE STREET,TACOMA STREET,URBANA STREET,,,ADDRESS,STATEN ISLAND,,N/A,Open,08/10/2013 07:50:07 AM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,02 STATEN ISLAND,5032000089,STATEN ISLAND,959675,157266,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.59830102751913,-74.0884935806034,"(40.59830102751913, -74.0884935806034)"
25922368,07/12/2013 05:17:32 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Store,11102,30-07 ASTORIA BOULEVARD,ASTORIA BOULEVARD,30 STREET,31 STREET,,,ADDRESS,ASTORIA,,N/A,Open,08/11/2013 05:17:32 PM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 QUEENS,4008380008,QUEENS,1006734,219914,PHONE,Unspecified,QUEENS,,,,,,,,40.77026090218916,-73.91882697296089,"(40.77026090218916, -73.91882697296089)"
25923756,07/12/2013 08:17:24 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Farm Animal,Residence,11228,1444 84 STREET,84 STREET,14 AVENUE,15 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Open,08/11/2013 08:17:24 AM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,11 BROOKLYN,3063230022,BROOKLYN,981627,162699,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.613247186664374,-74.00944743003507,"(40.613247186664374, -74.00944743003507)"
25929139,07/12/2013 06:09:03 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Store,11102,30-07 ASTORIA BOULEVARD,ASTORIA BOULEVARD,30 STREET,31 STREET,,,ADDRESS,ASTORIA,,N/A,Open,08/11/2013 06:09:03 PM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 QUEENS,4008380008,QUEENS,1006734,219914,PHONE,Unspecified,QUEENS,,,,,,,,40.77026090218916,-73.91882697296089,"(40.77026090218916, -73.91882697296089)"
25930634,07/12/2013 07:05:01 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,11385,54-20 MYRTLE AVENUE,MYRTLE AVENUE,MYRTLE AVENUE,WOODBINE STREET,,,ADDRESS,RIDGEWOOD,,N/A,Assigned,08/11/2013 07:05:01 PM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,05 QUEENS,4035440020,QUEENS,1009158,194191,PHONE,Unspecified,QUEENS,,,,,,,,40.69965115158398,-73.9101709475981,"(40.69965115158398, -73.9101709475981)"
25939509,07/15/2013 04:37:00 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Snake,Residence,11229,2279 EAST 29 STREET,EAST 29 STREET,AVENUE V,AVENUE W,,,ADDRESS,BROOKLYN,,N/A,Assigned,08/14/2013 04:37:00 PM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,15 BROOKLYN,3073860154,BROOKLYN,1000315,156607,PHONE,Unspecified,BROOKLYN,,,,,,,,40.596511717523946,-73.94215214089431,"(40.596511717523946, -73.94215214089431)"
25943676,07/17/2013 02:30:07 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,11368,107-02 34 AVENUE,34 AVENUE,107 STREET,108 STREET,,,ADDRESS,CORONA,,N/A,Assigned,08/16/2013 02:30:07 AM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,03 QUEENS,4017490001,QUEENS,1022631,214810,PHONE,Unspecified,QUEENS,,,,,,,,40.7561970275154,-73.86146392931914,"(40.7561970275154, -73.86146392931914)"
25945621,07/16/2013 03:39:03 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,11203,702 FENIMORE STREET,FENIMORE STREET,ALBANY AVENUE,TROY AVENUE,,,ADDRESS,BROOKLYN,,N/A,Assigned,08/15/2013 03:39:03 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",07/16/2013 04:05:40 PM,09 BROOKLYN,3048180015,BROOKLYN,1001193,179520,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65940142675691,-73.93893306639578,"(40.65940142675691, -73.93893306639578)"
25945622,07/16/2013 09:26:17 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,11205,97 CLASSON AVENUE,CLASSON AVENUE,BROOKLYN QUEENS EXPWY ET 30 EB,EMERSON PLACE,,,ADDRESS,BROOKLYN,,N/A,Assigned,08/15/2013 09:26:17 AM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,03 BROOKLYN,3018810021,BROOKLYN,994831,193366,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.697415447595716,-73.96184160937185,"(40.697415447595716, -73.96184160937185)"
25950340,07/16/2013 08:40:05 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10456,1208 CLAY AVENUE,CLAY AVENUE,EAST 167 STREET,EAST 168 STREET,,,ADDRESS,BRONX,,N/A,Assigned,08/15/2013 08:40:05 AM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,04 BRONX,2024260060,BRONX,1009002,242583,PHONE,Unspecified,BRONX,,,,,,,,40.83247500889723,-73.91055534772033,"(40.83247500889723, -73.91055534772033)"
25953198,07/17/2013 06:17:22 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,10452,32 EAST WEST 170 STREET,WEST 170 STREET,INWOOD AVENUE,CROMWELL AVENUE,,,ADDRESS,BRONX,,N/A,Open,08/16/2013 06:17:22 PM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,04 BRONX,,BRONX,1006588,245583,ONLINE,Unspecified,BRONX,,,,,,,,40.840715572295025,-73.9192686621976,"(40.840715572295025, -73.9192686621976)"
25957947,07/17/2013 04:26:03 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10457,1583 WASHINGTON AVENUE,WASHINGTON AVENUE,CLAREMONT PARKWAY,EAST 172 STREET,,,ADDRESS,BRONX,,N/A,Assigned,08/16/2013 04:26:03 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",07/18/2013 05:10:24 PM,03 BRONX,2029040041,BRONX,1011249,245068,PHONE,Unspecified,BRONX,,,,,,,,40.83928902767597,-73.90242551738007,"(40.83928902767597, -73.90242551738007)"
25963807,07/18/2013 12:09:26 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10009,395 EAST 8 STREET,EAST 8 STREET,AVENUE C,AVENUE D,,,ADDRESS,NEW YORK,,N/A,Assigned,08/17/2013 12:09:26 PM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,03 MANHATTAN,1003780043,MANHATTAN,990758,203015,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72390359262938,-73.97652079158667,"(40.72390359262938, -73.97652079158667)"
25967668,07/19/2013 10:48:12 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Ferret,Residence,11694,177 BEACH 109 STREET,BEACH 109 STREET,BETTY COURT,ALBANY COURT,,,ADDRESS,ROCKAWAY PARK,,N/A,Assigned,08/18/2013 10:48:12 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",07/22/2013 04:18:54 PM,14 QUEENS,4161810024,QUEENS,1031404,150849,PHONE,Unspecified,QUEENS,,,,,,,,40.58059630714476,-73.83024528859532,"(40.58059630714476, -73.83024528859532)"
25968542,07/19/2013 11:10:06 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10310,180 GREENLEAF AVENUE,GREENLEAF AVENUE,ARTHUR COURT,EGBERT AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Assigned,08/18/2013 11:10:06 AM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",07/19/2013 03:54:19 PM,01 STATEN ISLAND,5003520060,STATEN ISLAND,949143,167357,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.62596325331289,-74.12647130473802,"(40.62596325331289, -74.12647130473802)"
25969502,07/19/2013 06:06:02 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10310,178 GREENLEAF AVENUE,GREENLEAF AVENUE,FOREST AVENUE,ARTHUR COURT,,,ADDRESS,STATEN ISLAND,,N/A,Open,08/18/2013 06:06:02 PM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 STATEN ISLAND,5003520061,STATEN ISLAND,949127,167451,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.62622119989057,-74.12652943303313,"(40.62622119989057, -74.12652943303313)"
25982334,07/21/2013 09:12:55 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Monkey,Residence,10466,722 EAST 229 STREET,EAST 229 STREET,WHITE PLAINS ROAD,BARNES AVENUE,,,ADDRESS,BRONX,,N/A,Open,08/20/2013 09:12:55 PM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,12 BRONX,2048420056,BRONX,1023503,263685,ONLINE,Unspecified,BRONX,,,,,,,,40.89034101601306,-73.8580305387511,"(40.89034101601306, -73.8580305387511)"
25987830,07/22/2013 08:41:42 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,11435,111-11 147 STREET,147 STREET,111 AVENUE,LINDEN BOULEVARD,,,ADDRESS,JAMAICA,,N/A,Assigned,08/21/2013 08:41:42 AM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",07/22/2013 04:20:16 PM,12 QUEENS,4119640299,QUEENS,1040471,189827,PHONE,Unspecified,QUEENS,,,,,,,,40.68752947674934,-73.79727940033028,"(40.68752947674934, -73.79727940033028)"
25993636,07/23/2013 08:02:05 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Farm Animal,Residence,11415,120-16 83 AVENUE,83 AVENUE,BEVERLY ROAD,GRENFELL STREET,,,ADDRESS,KEW GARDENS,,N/A,Assigned,08/22/2013 08:02:05 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",07/24/2013 04:00:56 PM,09 QUEENS,4033320007,QUEENS,1030842,197414,ONLINE,Unspecified,QUEENS,,,,,,,,40.70840991182889,-73.83194688545267,"(40.70840991182889, -73.83194688545267)"
25998400,07/23/2013 07:19:09 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10305,60 CAMERON AVENUE,CAMERON AVENUE,PARKINSON AVENUE,MASON AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Assigned,08/22/2013 07:19:09 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",07/24/2013 04:02:33 PM,02 STATEN ISLAND,5033930068,STATEN ISLAND,961890,155181,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.5925839900198,-74.08051055934861,"(40.5925839900198, -74.08051055934861)"
26005005,07/30/2013 01:35:45 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,11360,28-11 208 STREET,208 STREET,28 AVENUE,BEND,,,ADDRESS,BAYSIDE,,N/A,Assigned,08/29/2013 01:35:45 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",07/30/2013 04:18:35 PM,11 QUEENS,4059900026,QUEENS,1044530,221436,PHONE,Unspecified,QUEENS,,,,,,,,40.77426144997752,-73.78236041822441,"(40.77426144997752, -73.78236041822441)"
26007347,07/24/2013 05:51:03 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,11231,220 CONOVER STREET,CONOVER STREET,DIKEMAN STREET,COFFEY STREET,,,ADDRESS,BROOKLYN,,N/A,Assigned,08/23/2013 05:51:03 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",07/26/2013 04:26:03 PM,06 BROOKLYN,3005850036,BROOKLYN,980001,185992,PHONE,Unspecified,BROOKLYN,,,,,,,,40.677180814176225,-74.01531857140509,"(40.677180814176225, -74.01531857140509)"
26008349,07/27/2013 02:42:19 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Ferret,Residence,10472,1435 HARROD AVENUE,HARROD AVENUE,EAST 174 STREET,CROSS BRONX EXPRESSWAY,,,ADDRESS,BRONX,,N/A,Assigned,08/26/2013 02:42:19 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",07/29/2013 04:20:30 PM,09 BRONX,2038860002,BRONX,1018876,243371,ONLINE,Unspecified,BRONX,,,,,,,,40.83460464721807,-73.87487030618162,"(40.83460464721807, -73.87487030618162)"
26016573,07/27/2013 10:45:39 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10461,3017 BAISLEY AVENUE,BAISLEY AVENUE,HOBART AVENUE,HOBART AVENUE,,,ADDRESS,BRONX,,N/A,Assigned,08/26/2013 10:45:39 AM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",07/29/2013 04:20:54 PM,10 BRONX,2053380001,BRONX,1032113,244115,PHONE,Unspecified,BRONX,,,,,,,,40.83658488950161,-73.82702990082653,"(40.83658488950161, -73.82702990082653)"
26020316,07/24/2013 03:44:26 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,11235,3 PLUMB 3 STREET,PLUMB 3 STREET,HARKNESS AVENUE,EMMONS AVENUE,,,ADDRESS,BROOKLYN,,N/A,Assigned,08/23/2013 03:44:26 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",07/26/2013 04:25:39 PM,15 BROOKLYN,3088440338,BROOKLYN,1004128,152584,PHONE,Unspecified,BROOKLYN,,,,,,,,40.58546166001895,-73.92843389212742,"(40.58546166001895, -73.92843389212742)"
26044130,07/31/2013 01:26:53 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Farm Animal,Residence,11375,102-01 63 ROAD,63 ROAD,102 STREET,102 STREET,,,ADDRESS,FOREST HILLS,,N/A,Assigned,08/30/2013 01:26:53 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",08/01/2013 04:25:17 PM,06 QUEENS,4021240001,QUEENS,1024539,206313,PHONE,Unspecified,QUEENS,,,,,,,,40.73286643236215,-73.85462792126724,"(40.73286643236215, -73.85462792126724)"
26045004,08/01/2013 09:12:36 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,11215,597 11 STREET,11 STREET,8 AVENUE,PROSPECT PARK WEST,,,ADDRESS,BROOKLYN,,N/A,Assigned,08/31/2013 09:12:36 AM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",08/01/2013 04:24:46 PM,06 BROOKLYN,3010950072,BROOKLYN,989984,181238,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66413131067779,-73.97933172393377,"(40.66413131067779, -73.97933172393377)"
26051831,08/01/2013 11:59:20 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Ferret,Residence,11694,177 BEACH 109 STREET,BEACH 109 STREET,BETTY COURT,ALBANY COURT,,,ADDRESS,ROCKAWAY PARK,,N/A,Open,08/31/2013 11:59:20 AM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,14 QUEENS,4161810024,QUEENS,1031404,150849,PHONE,Unspecified,QUEENS,,,,,,,,40.58059630714476,-73.83024528859532,"(40.58059630714476, -73.83024528859532)"
26055163,08/02/2013 03:15:46 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Store,11106,36-21 31 STREET,31 STREET,36 AVENUE,37 AVENUE,,,ADDRESS,ASTORIA,,N/A,Open,09/01/2013 03:15:46 PM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 QUEENS,4006000020,QUEENS,1003609,214754,PHONE,Unspecified,QUEENS,,,,,,,,40.756105431787844,-73.93012388236667,"(40.756105431787844, -73.93012388236667)"
26057351,08/02/2013 11:09:49 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,11225,560 EMPIRE BOULEVARD,EMPIRE BOULEVARD,LAMONT COURT,KINGSTON AVENUE,,,ADDRESS,BROOKLYN,,N/A,Assigned,09/01/2013 11:09:49 AM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",08/02/2013 04:28:26 PM,09 BROOKLYN,3013250068,BROOKLYN,999891,181229,PHONE,Unspecified,BROOKLYN,,,,,,,,40.664094649038745,-73.94362184380982,"(40.664094649038745, -73.94362184380982)"
26068660,08/05/2013 07:22:49 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,10031,533 WEST 152 STREET,WEST 152 STREET,AMSTERDAM AVENUE,BROADWAY,,,ADDRESS,NEW YORK,,N/A,Assigned,09/04/2013 07:22:49 AM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",08/05/2013 04:05:45 PM,09 MANHATTAN,1020840114,MANHATTAN,999356,241708,PHONE,Unspecified,MANHATTAN,,,,,,,,40.83009515180532,-73.94541441328707,"(40.83009515180532, -73.94541441328707)"
26071402,08/05/2013 08:56:55 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Snake,Residence,11222,37 GREENPOINT AVENUE,GREENPOINT AVENUE,WEST STREET,FRANKLIN STREET,,,ADDRESS,BROOKLYN,,N/A,Assigned,09/04/2013 08:56:55 AM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",08/05/2013 04:04:28 PM,01 BROOKLYN,3025570001,BROOKLYN,995614,205149,PHONE,Unspecified,BROOKLYN,,,,,,,,40.7297559971654,-73.95899797725731,"(40.7297559971654, -73.95899797725731)"
26073561,08/05/2013 03:09:22 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Residence,11356,130-02 14 AVENUE,14 AVENUE,130 STREET,131 STREET,,,ADDRESS,COLLEGE POINT,,N/A,Open,09/04/2013 03:09:22 PM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,07 QUEENS,4040980019,QUEENS,1029067,225638,PHONE,Unspecified,QUEENS,,,,,,,,40.78588673262727,-73.83816105303971,"(40.78588673262727, -73.83816105303971)"
26075410,08/06/2013 03:18:18 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Store,11377,59-15 ROOSEVELT AVENUE,ROOSEVELT AVENUE,59 STREET,60 STREET,,,ADDRESS,WOODSIDE,,N/A,Open,09/05/2013 03:18:18 PM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,02 QUEENS,4012300005,QUEENS,1010491,210868,PHONE,Unspecified,QUEENS,,,,,,,,40.74542160344582,-73.90529855278234,"(40.74542160344582, -73.90529855278234)"
26075528,08/06/2013 12:40:07 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10304,1033 VAN DUZER STREET,VAN DUZER STREET,CORNELL PLACE,RICHMOND ROAD,,,ADDRESS,STATEN ISLAND,,N/A,Assigned,09/05/2013 12:40:07 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",08/06/2013 03:57:00 PM,01 STATEN ISLAND,5006500005,STATEN ISLAND,960003,162985,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.61399940975344,-74.08733299842386,"(40.61399940975344, -74.08733299842386)"
26079861,08/06/2013 12:01:18 PM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,10031,533 WEST 152 STREET,WEST 152 STREET,AMSTERDAM AVENUE,BROADWAY,,,ADDRESS,NEW YORK,,N/A,Open,09/05/2013 12:01:18 PM,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,09 MANHATTAN,1020840114,MANHATTAN,999356,241708,PHONE,Unspecified,MANHATTAN,,,,,,,,40.83009515180532,-73.94541441328707,"(40.83009515180532, -73.94541441328707)"
26093972,08/08/2013 10:41:37 AM,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,11423,91-12 193 STREET,193 STREET,JAMAICA AVENUE,WOODHULL AVENUE,,,ADDRESS,HOLLIS,,N/A,Assigned,09/07/2013 10:41:37 AM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",08/08/2013 03:53:17 PM,12 QUEENS,4108200047,QUEENS,1048783,198964,PHONE,Unspecified,QUEENS,,,,,,,,40.71255161683585,-73.76722073274169,"(40.71255161683585, -73.76722073274169)"
